Poster 1 | MSc | Yuting Yang | Advancing high-rate Mechanical Testing with a Novel Optical Force–Displacement Sensor | Supervisor: Prof. Doron Shilo, Dr. Eilon Faran
Poster 2 | PhD | Avital Reizman Einhorn | Constructive Hebbian Learning of Janus Floating Particles: Self-Assembling Physical Neural Networks via Capillary Interactions | Supervisor: Prof. Amir Gat and Prof. Omri Ram
Poster 3 | PhD | Ezra Ben-Abu | Self-deploying reinforced concrete structures | Supervisor: Prof. Amir Gat
Poster 4 | Post doc | Chieh-li Liu | Spin-Valley Atomically Thin Semiconductor Rashba Lasers   | Supervisor: Prof. Erez Hasman
Poster 5 | MSc | Bar Itskovitch Kiner | Learning to Walk Together: User–Exoskeleton Adaptation Across Repeated Gait Training Sessions  | Supervisor: Asst. Prof. Arielle G. Fischer
Poster 6 | MSc | עידן ויסלר | Mitigating NOx Emissions in Hydrogen Engines Through Fuel Cell-Assisted Oxygen-Diluted Combustion  | Supervisor: Asst. Prof. Andy Thawko
Poster 7 | MSc | Sharon Atlan | Control of Deflagration-to-Detonation Transition by Surface Plasma in a Microchannel  | Supervisor: Asst. Prof. Andy Thawko
Poster 8 | PhD | Yaakov Lancer | Theoretical Studying of the Distinctive Dependence of Ideal Otto Cycle Efficiency on Fuel Thermochemical Properties  | Supervisor: Asst. Prof. Andy Thawko
Poster 9 | MSc | Omer Gazit-Orlov | The Effect of Air Utilization Factor on Solid-Oxide Fuel Cell Performance  | Supervisor: Asst. Prof. Andy Thawko
Poster 10 | MSc | Itamar Givon | Microfabrication of Micropost Arrays with Varying Stiffness Gradients for Measuring Durotaxis in Endothelial Cells  | Supervisor: Asst. Prof. Leeya Engel
Poster 11 | MSc | בועז גבריאל | Closed loop thermocapillary shaping  | Supervisor: Prof. Moran Bercovici
Poster 12 | Msc | Said Nassar Marjiya | Particle Image Velocimetry Investigation of Heat Transfer in a Pulsating Coaxial Impinging Jet at Small Stand-off Distance  | Supervisor: Prof. Rene Van Hout
Poster 13 | Msc | Asher John Joshua | Load-Path Geometry Governs Stiffness in Ordered and Disordered Lattice Networks  | Supervisor: Proff Daniel Rittel
Poster 14 | PhD | Yoni Reingewirtz | Independently controlled Coaxial Synthetic Jet  | Supervisor: Prof. Rene Van Hout
Poster 15 | PhD | Kostiantyn Kuzmenko | Transition Forcing on Blunt-Nosed Hypersonic Wind-Tunnel Models using DBD Plasma Actuation  | Supervisor: Prof. David Greenblatt
Poster 16 | PhD | Yoav Gichon | Shock Interaction With Contraction of Various Geometries  | Supervisor: Asst. Prof. Omri Ram
Poster 17 | PhD | Zvi Chapnik | Sample Efficient Learning of Body-Environment Interaction of an Underactuated Locomotion System  | Supervisor: Prof. Yizhar Or, Asst. Prof Shai Revzen
Poster 18 | MSc | Yaron Resnick | Instance segmentation of Deformable Linear Objects (DLOs) from RGBD images using learning methods   | Supervisor: Prof. Anath Fisher. Ronit Schneor
Poster 19 | PhD | Yohai Ackerman | Data-Driven SVD-Based Adaptive Actuation Method for Flexible Structures with Two Dominant Modes  | Supervisor: Prof. Izhak Bucher
